table,column,dtype_inferred,n_non_null,n_null,pct_missing,n_unique,examples
provisions,company_code,int64,323475,0,0.0,39168,"100003, 100003, 100003"
provisions,date_var,object,323475,0,0.0,21,"31dec2012, 31dec2013, 31dec2014"
provisions,sales,float64,252550,70925,21.93,136075,"8.5865, 6.6649, 4.4252"
provisions,interest_expense,float64,213795,109680,33.91,36856,"0.0834, 0.0784, 0.0245"
provisions,provision_bad_receivables,float64,34577,288898,89.31,8102,"0.0901, 0.0574, 0.0608"
provisions,writeoff_bad_receivables,float64,41433,282042,87.19,5578,"0.0074, 0.0016, 0.0016"
provisions,cogs,float64,323475,0,0.0,153075,"4.0721002, 3.2651999, 2.0071001"
provisions,net_income,float64,304678,18797,5.81,68834,"2.7105, 1.0183, 1.1915"
provisions,ebidta,float64,304844,18631,5.76,79455,"4.6599, 2.0458, 2.1454"
provisions,ebit,float64,304844,18631,5.76,76847,"4.2227, 1.691, 1.8455"
provisions,debt_total,float64,250309,73166,22.62,97865,"0.0806, 1.7414, 0.1815"
provisions,current_liabilities,float64,303618,19857,6.14,110202,"1.7487, 1.0496, 0.5441"
provisions,total_asset,float64,320839,2636,0.81,158528,"13.151, 12.3024, 11.9809"
provisions,gross_fixed_asset,float64,274817,48658,15.04,106779,"4.9023, 3.6578, 2.9452"
provisions,net_fixed_asset,float64,277528,45947,14.2,88951,"1.8997, 2.1395, 1.457"
provisions,investment_asset,float64,160944,162531,50.25,51451,"0.2106, 1.1323, 1.1145"
provisions,current_asset,float64,313223,10252,3.17,115061,"5.1348, 3.4666, 4.7497"
provisions,inventories,float64,205738,117737,36.4,70456,"9.5523, 8.1464, 9.4798"
provisions,accounts_receivables,float64,250321,73154,22.62,77042,"0.7432, 0.454, 0.5392"
provisions,receivables_morethan6m,float64,114561,208914,64.58,21360,"0.0386, 0.0426, 0.04"
provisions,secured_receivables_morethan6m,float64,4320,319155,98.66,2082,"1.544, 0.0478, 0.0213"
provisions,unsec_receivables_morethan6m,float64,113828,209647,64.81,21129,"0.0386, 0.0426, 0.04"
provisions,receivables_lessthan6m,float64,173419,150056,46.39,51516,"0.7392, 0.4154, 0.4966"
provisions,secured_receivables_lessthan6m,float64,9531,313944,97.05,5996,"1.3731, 1.362, 1.3499"
provisions,unsec_receivables_lessthan6m,float64,171457,152018,47.0,50624,"0.7392, 0.4154, 0.4966"
provisions,cash,float64,303300,20175,6.24,51556,"4.3797, 3.009, 4.0941"
provisions,cfo,float64,246206,77269,23.89,76838,"1.2473, 2.5605, -0.4939"
provisions,date,datetime64[ns],323475,0,0.0,21,"2012-12-31 00:00:00, 2013-12-31 00:00:00, 2014-12-31 00:00:00"
provisions,year,int32,323475,0,0.0,11,"2012, 2013, 2014"
provisions,quarter,int32,323475,0,0.0,2,"4, 4, 4"
